rain_ord,sol_ord,ban_num,mnt_pente_mean,mnt_tpi_mean,mnt_tri_mean,mnt_rugosite_mean,mnt_ombrage_mean,mnt_exposition_mean,ANNEE,log_5b,log_chl,contamine,Taux_Chlordecone_clean,Taux_5b_hydro_clean,COMMU_LAB,Sol_simple,RAIN,histoBanane_cat,X,Y,ANNEE,ID,chl_censure
2,1,1,37.5685716772074,-3.1274903640307,7.93704977570644,23.9869165989706,111.842439428266,156.874256536144,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,1500-2000,1,727537.289281595,1608772.9583128,2013,21931,1
2,1,1,34.4322864822811,-0.921483259129196,6.7488038468107,20.6134708393337,122.151456557758,168.608175338959,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,1500-2000,1,727554.810440926,1608782.20218948,2013,21931,1
3,1,1,37.5685716772074,-3.1274903640307,7.93704977570644,23.9869165989706,111.842439428266,156.874256536144,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,2000-3000,1,727537.289281595,1608772.9583128,2013,21931,1
3,1,1,34.4322864822811,-0.921483259129196,6.7488038468107,20.6134708393337,122.151456557758,168.608175338959,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,2000-3000,1,727554.810440926,1608782.20218948,2013,21931,1
3,3,1,15.4934322068281,1.65623272526258,3.06875345494748,8.77501381978994,158.57490326147,91.3451934358967,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LAMENTIN(LE),Ferralsol,2000-3000,1,714890.070444704,1619662.20581768,2014,22167,1
3,3,1,24.4841085395408,0.0536030853736388,4.79055638224096,13.2002737247229,145.939279957012,88.8341148631658,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LAMENTIN(LE),Ferralsol,2000-3000,1,714956.53889392,1619687.52464484,2014,22167,1
3,3,1,20.8814791679382,0.75,4.05,11.7,150.5,90.9505615234375,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LAMENTIN(LE),Ferralsol,2000-3000,1,714917.987430185,1619673.12325315,2014,22167,1
3,3,1,23.9976714712882,0.225955777576268,4.71200571604379,13.3886423991191,147.28951033098,87.7079738396052,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LAMENTIN(LE),Ferralsol,2000-3000,1,714957.955049062,1619686.73249572,2014,22167,1
3,3,1,23.9733397078781,-0.0653956599491024,4.69464285714286,13.2337024554646,147.84856592613,86.2492556232904,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LAMENTIN(LE),Ferralsol,2000-3000,1,714949.487672667,1619694.53130356,2014,22167,1
3,3,1,23.7978115081787,0.4375,4.6875,13.5,148.0,86.8411331176758,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LAMENTIN(LE),Ferralsol,2000-3000,1,714963.338312425,1619688.36585849,2014,22167,1
3,3,1,23.9514881948283,-0.235667205123028,4.71525985696883,12.9555706934771,147.953919821777,86.0361747350725,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LAMENTIN(LE),Ferralsol,2000-3000,1,714949.107682059,1619697.34900283,2014,22167,1
2,1,1,24.2056239034091,2.62415402991104,5.13733773726214,16.9029139454757,181.525463929737,37.4143749025457,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722199.304968567,1619998.29539964,2014,22187,1
2,1,1,18.8611345416906,1.15494034011196,3.96442658429892,13.9051375581304,175.572330139513,51.056445854365,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722201.398119846,1620015.38297741,2014,22187,1
2,1,1,25.8217099560042,1.04504466164779,5.32626734293611,17.5836763247153,173.064092211782,47.0679081216134,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722209.855350288,1619996.56644005,2014,22187,1
2,1,1,22.7035578920287,-1.413312391455,4.93359188438288,15.5771322829518,169.586921162934,55.9765667580173,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722215.873679555,1620012.18024107,2014,22187,1
2,1,1,25.1140683353664,0.654993178319427,5.25290607512909,17.4932318996769,161.142259483486,64.2148553648276,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722231.758106452,1619990.87082919,2014,22187,1
2,1,1,22.9136613210042,0.25,4.58333333333333,15.3333333333333,163.333333333333,64.3711471557617,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722261.887930132,1620010.38527125,2014,22187,1
2,1,1,11.0013732625929,-0.636359472334188,2.12121350922194,6.9697080737755,187.787956516429,19.322057423697,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722152.524608968,1620263.23785385,2014,22191,1
2,1,2,11.0679721832275,-0.625,2.125,7.0,188.0,18.4349517822266,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,2,722151.507608454,1620261.90547826,2014,22191,1
2,1,1,8.00657011707729,-1.1471693045907,1.95094356513643,5.60754852109146,178.25283964764,59.2131959011004,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,1,722148.035321022,1620266.70325425,2014,22191,1
2,1,2,11.0679721832275,-0.625,2.125,7.0,188.0,18.4349517822266,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,2,722150.81405485,1620261.64924585,2014,22191,1
2,1,1,11.0679721832275,-0.625,2.125,7.0,188.0,18.4349517822266,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),"Alluvium, Colluvium",1500-2000,1,722153.422015063,1620263.59693582,2014,22191,1
2,1,2,10.9912705421448,-1.375,2.625,8.0,183.5,34.7219772338867,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),"Alluvium, Colluvium",1500-2000,2,722217.913204413,1620243.13342794,2014,22191,1
2,1,2,36.4924919128418,-0.15,7.05,22.2,198.8,14.8321418762207,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,2,722209.332600461,1620203.160217,2014,22191,1
2,1,2,11.0679721832275,-0.625,2.125,7.0,188.0,18.4349517822266,2014,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Vertisol,1500-2000,2,722150.463853207,1620260.66935745,2014,22191,1
